ID;question;answer_1;answer_2;answer_3;answer_4;correct_answer;category
15117;Which alpine sibling pair won 6 of Liechtenstein's 9 Olympic medals?;Ianica and Ivica Kostelic;Hanni and Andreas Wenzel;Macarena and Javier Simari Birkner;Pirmin and Heidi Zurgriggen;2;Winter Sports
22198;How are Shirley MacLaine and Warren Beatty related?;Husband and wife;Their fathers were brothers;Cousins;Brother and sister;4;Entertainment
4108;In DMP programs, chronically ill patients are systematically treated. What does "DMP" stand for?;Disease-Management-Progress;Disease-Management-Patient;Disease-Management-Program;Disease-Management-Problems;3;Medicine
19755;What is the largest lake in Hesse?;Diemelsee;Twistesee;Edersee;Aartalsee;3;Geography
3768;What export product is South Africa internationally known for?;Rice;Kiwi;Wine;Tea;3;Travel
13298;What profession did Princess Letizia have before marrying Felipe of Spain?;Nurse;Journalist;Hairdresser;Lawyer;2;High Society
16880;Who is considered the author of the oldest known Indian dramas?;Banabhatta;Jayakanthan;Akhandanand;Ashvaghosha;4;Literature
3069;Which US state does the city of Pittsburgh belong to?;Ohio;Oklahoma;Oregon;Pennsylvania;4;Geography
16171;What was Hitchcock's last film?;Family Plot;Frenzy;Rear Window;Marnie;1;Entertainment
801;Abdul Ahad Mohmand was the first astronaut from which country?;Syria;Saudi Arabia;Kuwait;Afghanistan;4;Technology
14289;Which Greek scholar formulated the laws of the center of gravity?;Creon;Socrates;Archimedes;Thales;3;Physics
12268;What hair color does "The Little Match Girl" have in the fairy tale?;red;black;brown;blonde;4;Literature
5249;What common sizes are external hard drives offered in?;1.8 / 2.5 / 3.5 inch;7.5 / 5.25 inch;3.5 / 5.25 / 8 inch;3.25 / 3.5 inch;1;Digital
12206;What kind of fruit grows on a carob tree?;Berries;Legumes;Nuts;Stone fruits;2;Plants
23251;Where is the Zeil shopping street located?;Cologne;Frankfurt/M;Hamburg;Düsseldorf;2;Travel
11684;Which famous person did NOT die in 1959?;Errol Flynn;Mario Lanza;Ernest Hemingway;Adrian Wettach;3;People
8840;What does the title "Augustus" mean in German?;the richly endowed;Emperor;the Exalted;first citizen;3;History
14693;Which Reich Chancellor emigrated to the USA in 1934?;Heinrich Brüning;Kurt von Schleicher;Wilhelm Cuno;Franz von Papen;1;Politics
11616;Which Bavarian region has the highest brewery density?;Swabia;Upper Franconia;Middle Franconia;Upper Bavaria;2;More General
23709;Where do you land if airline "EVA Air" takes you to its home country?;Taiwan;Uzbekistan;USA;Seychelles;1;Travel
23656;Where is Popeye tattooed?;On his legs;On his arms;On his chest;On his shoulder blade;2;Entertainment
9203;What kind of animals are "medusae"?;Water fleas;Mosquitoes;Lizards;Jellyfish;4;Animals
25110;At what time of day is increased wildlife activity expected?;At 12 o'clock;At midday;At dawn;In the early afternoon;3;Car & Traffic
2970;The official currency of Aruba is the...?;Aruba-Euro;Aruba-Florin;Aruba-Dollar;Aruba-Guilder;2;Geography
11344;What is kept in a humidor?;Cigars;Documents;Stamps;Shellfish;1;More General
24517;What does the abbreviation "RFID" stand for?;radio-frequency identification;radio-frequency implementation;radio-frequency information;radio-frequency imagination;1;Technology
24690;How are you traveling if you are traveling "per Pedes"?;by bus;on foot;by car;by bike;2;Language
7839;When was the first docking maneuver with two manned space capsules in space accomplished?;March 3, 1969 with Apollo 9 and Apollo 10;May 15, 1963 with Mercury 8 and Mercury 9;March 16, 1966 with Gemini 8 and Gemini 9;January 16, 1969 with Soyuz 4 and Soyuz 5;4;Air & Space
11242;What was the "Maginot Line"?;Part of the former GDR border fortifications;A belt of huge concrete bunkers;Former border between North and South Vietnam;A naval blockade;2;History
1475;Which operetta does the melody "Grüß euch Gott, alle miteinander" come from?;The Bird Seller;The Bat;The Gypsy Baron;The Opera Ball;1;Music
25135;For the treatment of which disease is quinine used?;Hepatitis;Malaria;Plague;Tuberculosis;2;Medicine
14560;Which name does NOT designate the same person?;Amenhotep;Amenophis;Mentuhotep;Akhenaten;3;History
7940;When did Chancellor Brandt make a kneeling that went down in history?;December 7, 1970;September 8, 1969;October 3, 1970;November 13, 1971;1;History
4923;In which country is Lake Thun located?;Tunisia;Switzerland;Austria;Germany;2;Geography
977;On which Friday did the world stock markets crash, triggering the Great Depression?;Black Friday;Friday the 13th;Blue Friday;Bloody Friday;1;Economics
13942;Which of these films was released in 1981?;Das Boot;The Bridge on the River Kwai;Jurassic Park;Papillon;1;Film
4191;At what age did the beloved Argentine president's wife Evita Peron die?;33 years;45 years;57 years;63 years;1;History
20222;What is the capital of Bulgaria?;Budapest;Sofia;Bucharest;Prague;2;Geography
5782;In which city were the IV Olympic Summer Games of the modern era opened on April 27, 1908?;St Louis;Paris;Amsterdam;London;4;More Sport
3544;Which of the following is NOT a task of the German Bundestag?;Electing the Federal Chancellor;Controlling the Federal Government;Drafting laws;Forming the Federal Cabinet;4;Saxony-Anhalt
7199;Vicky Leandros sang in one of her hits "Ja, ja, der ... , der ist schlau"?;Peter;Rainer;Günter;Theo;1;Schlager
1929;The surgical removal of a terminal body part is called...?;Hypotrichosis;Transplantation;Amputation;Metabolism;3;Medicine
5641;In which city did Oscar Wilde die?;Berlin;Lyon;London;Paris;4;People
16534;Who placed 5th in Season 5 of "DSDS"?;Rania Zeriri;Sahra Drone;Monika Ivkic;Stella Salato;1;Pop
757;940 - 23 x 2 = ?;900;890;895;894;4;Mathematics
11600;Which band comes from Knittlingen near Pforzheim?;Flippers;Truck Stop;Gebrüder Blattschuss;Cindy & Bert;1;Schlager
22104;How many times has the Polish national football team been in a European Championship final so far?;3 times;5 times;1 time;Never;4;Football
23316;Where does the Werra river originate?;In the Ore Mountains;In the Taunus;In the Thuringian Slate Mountains;In the Fichtel Mountains;3;Geography
4074;In the cult comedy "Look Who's Talking!", action star Bruce Willis lends his voice to Molly's child. What is his name?;Johnny;Jimmy;Mikey;Danny;3;Film
19600;What is (according to chart rankings) the biggest hit by "2 Unlimited"?;No Limit;Tribal Dance;Get Ready For This;No One;1;Pop
2049;Everyone knows the musical "Fiddler on the Roof", but what was Anatevka?;a river in Ukraine;the milkman Tevye's wife;a district of Moscow;a Ukrainian village;4;More Music
21595;What is the nickname of Italy's footballer Sebastian Giovinco?;Atomic Ant;Rocket Bee;Explosion Beetle;Flash Mosquito;1;Football
18558;Who was Elizabeth Taylor's third husband?;Michael Wilding;Richard Burton;Michael Todd;John Warner;3;Stars
13192;Which helicopter does the "Piasecki H-21" resemble?;Westland Wasp;Sikorsky S-56;Sikorsky HH-53 C;CH-47 Chinook;4;Air & Space
2524;The coach of which club said: "We want to become champions, we just don't know in which century yet."?;Arminia Bielefeld;TSG 1899 Hoffenheim;1 FC Köln;Greuther Fürth;1;Football
11482;Which "nut" does NOT exist?;Brazil nut;Cashew nut;Pecan nut;Malben nut;4;Nutrition
18040;Who plays Inspector Eva Saalfeld in Tatort?;Eva Mattes;Katharina Böhm;Ulrike Kriener;Simone Thomalla;4;TV
2016;The Karwendel mountains belong to Austria and...?;Germany;Italy;Czech Republic;Switzerland;1;Geography
5918;Jean Giraud designed the costumes for the film Alien. What is this artist's nickname?;Moebius;HR Giger;Algor;Korn;1;Stars
5329;In which German city is Baldeney Lake located?;Schwerin;Freiburg;Chemnitz;Essen;4;Geography
17869;Who composed the film music for "As Good as It Gets"?;Mychael Danna;Jean-Michel Defaye;Thomas Newman;Hans Zimmer;4;Film Music
2417;Athlete and Olympic champion Martin Lauer wanted to make it as a Schlager singer with the...?;Automobile to Kiel;Bicycle to Paris;Taxi to Texas;Inflatable boat to America;3;Schlager
4782;In which country is Salto Ángel, the highest waterfall on Earth, located?;Argentina;Venezuela;Peru;Bolivia;2;Travel
10371;What is NOT typical of the sleep disorder "parasomnia"?;Strong thirst;Nightmares;Sleepwalking;Night terrors;1;Medicine
18971;Who was murdered in the Lorraine Motel in Memphis?;Robert Kennedy;John F. Kennedy;Martin Luther King;Sharon Tate;3;History
16589;Whoever has "gingivitis" suffers from...?;Pleurisy;Pancreatitis;Pneumonia;Gingivitis;4;Medicine
7791;When did the division of the Roman Empire into East and West take place?;395;275;415;535;1;History
4709;In which year did Hitler become Reich Chancellor?;1936;1933;1927;1923;2;Rhineland-Palatinate
14565;Which name comes from Frisian and is the short form of Adelheid?;Linda;Anke;Elke;Heike;3;Language
13674;Which profession was also responsible for pulling teeth in the past?;Hairdresser;Butcher;Baker;Cooper;1;History
11929;Which of these operas is NOT by Giuseppe Verdi?;Parsifal;Aida;Nabucco;La Traviata;1;Classical
3176;Dr. Mittendrein-Zwetschger is known from sketches with whom?;Dieter Hallervorden;Dieter Hildebrand;Diether Krebs;Loriot;3;More Entertainment
8804;What does the Latin name Cölestina mean?;the Heavenly One;the Radiant One;the Penitent One;the Arrogant One;1;Language
207;PGP is a very well-known encryption program. What does PGP stand for?;Pretty Good Prevention;Pretty Good Permission;Pretty Good Privacy;Pretty Good Persistence;3;Digital
14076;Which ice hockey player became the German national team coach?;Marco Sturm;Uwe Krupp;Erich Weide;Christian Ehrhoff;2;Winter Sports
1115;Which of these teams did the German national football team meet during Euro 2012 qualification?;Faroe Islands;Azerbaijan;Romania;Armenia;2;Football
4585;In which year did Stacy "Fergie" Ferguson join the band "The Black Eyed Peas"?;1989;2005;2003;1999;3;Black & Hip Hop
13681;Which famous saying is attributed to the philosopher Seneca?;Non scholae, sed vitae discimus;Vitae et scholae discimus;Non vitae, sed scholae discimus;Non scholae, non vitae discimus;3;General
19572;What is the proverb? Rome wasn't built in...;destroyed;explored;built;researched;3;Proverbs
2266;The only US president who was never elected or confirmed by the Electoral College was...?;Jimmy Carter;Ronald W. Reagan;Gerald Ford;Lyndon B. Johnson;3;More Knowledge
17873;Who composed the film music for "Once Upon a Time in America"?;Walter Jurmann;John Barry;Ennio Morricone;Michael Kamen;3;Film Music
1220;On which island is Kilauea, the largest active volcano on Earth, located?;Kamchatka;Hawaii;Fiji;Cook Islands;2;Geography
23418;Where do you find "U-locks"?;On trucks;On children's scooters;On bicycles;On sailboats;3;Technology
17741;Who wrote the poem "Die Wittenbergisch Nachtigall" in 1523?;Wolfram von Eschenbach;Hans Sachs;Christian Morgenstern;Novalis;2;Literature
3888;Giovanni Trapattoni is known for his verbal blunders. His most famous saying is: "Ich habe...";enough;Schluss;Feierabend;fertig;4;Football
22078;How many times can a US president be re-elected at most?;twice;once;not at all;unlimited;2;Politics
9706;What is GOLF EUROPE?;European Golf Championship;Top ranking in the European golf list;An internal golf tournament;International trade fair for golf;4;More General
10206;What is a sycamore?;Fig tree;Date palm;Olive tree;Oleander shrub;1;Plants
3330;A hot drink made of strong coffee, sugar, rum, and whipped cream is a...?;Pharisäer;Hallig tea;Friesian coffee;Aufsetzer;1;Nutrition
13537;What was the value of the decorations on the Christmas tree set up in a luxury hotel in Abu Dhabi in 2010?;1 million dollars;20.5 million dollars;11.5 million dollars;52.3 million dollars;3;Society
8183;When was the term "Internet" first used?;1980;1974;1978;1976;2;Technology
1862;Colombo is the capital of which state?;Sri Lanka;Thailand;India;Vietnam;1;Geography
6604;Olaf Malolepski now sings Schlager alone. He previously belonged to...?;the Flippers;the group Wind;the Klostertalers;the group Pur;1;Schlager
3809;Garmisch-Partenkirchen is located in the state of...?;Hesse;Bavaria;Rhineland-Palatinate;Saarland;2;Geography
24632;Where do developing countries mainly export to?;National states;People's states;Industrialized states;All states;3;Economics
22038;What are Internet applications and pages that can be read and edited by users called?;Blogosphere;Homepage;Weblog;Wiki;4;Technology
4591;In which year did the seat belt first appear at the IAA?;1954;1921;1892;1961;4;Car & Traffic
15064;Which whale dives the deepest?;Sperm whale;Blue whale;Gray whale;Whale shark;1;Animals
23986;Where did the Titanic begin its maiden voyage?;London;Rochester;Southampton;Liverpool;3;History
13390;What is the job of the Best Boy on American film productions?;He refines visual effects in post-production.;He doubles the star's risky actions.;He advises the set on the use of correct firearms.;As a trained electrician, he assists with tricky technical questions.;4;Entertainment
24629;Where does the phrase "to get cold feet" likely come from?;from illegal gambling;from mountaineering;from stowaways on cargo ships;from coal shortage in World War I;1;Language
4689;In which year was the International Radio Exhibition (IFA) permanently located in Berlin?;1924;1980;1971;1950;3;Digital
9227;What is NOT one of the tasks of the former soldier in the fairy tale "The Blue Light"?;Go grocery shopping;Dig the garden;retrieve the blue light from the empty well;split a load of wood;1;Literature
12297;Which historical figure inspired Bram Stoker to create "Count Dracula"?;Lucrezia Borgia;Vlad III;Countess Bathory;Nero;2;More General
11572;Which statement about red dwarfs is true?;They do not produce hydrogen fusion;They have a higher temperature than the sun;They are the largest active stars;They are the smallest active stars;4;Astronomy
17619;Who sang about the "Silvermoon-Baby" in 1971?;Chris Roberts;Howard Carpendale;Randolph Rose;Bernd Clüver;3;Schlager
24904;What can members of the German Bundestag (MdB) form?;Gangs;Clubs;Party groups;Communities;3;Politics
10068;What is a synonym for "cryptic"?;mysterious;meaningful;expectant;foreboding;1;Language
1795;The flower of the year 2005 was the Greater...?;Small pot;Frisian pot;Clatter pot;Rattle pot;4;Plants
8900;What does the name of the god Ganesha mean in Sanskrit?;Lord of the Elephants;Lord of the Hosts;Lord of the Forests;Lord of the People;2;Religion & Myths
13932;Which of these films was released in 1968?;The Flight of the Phoenix;Once Upon a Time in the West;Hatari!;Marnie;2;Film
4949;In which country is the city of Lillehammer located?;Denmark;Finland;Sweden;Norway;4;Geography
17349;Who painted the painting "Triumph of Galatea"?;Guido Reni;Titian;El Greco;Raphael;4;Art
2823;The birds listed here are European breeding birds. Which one does NOT belong?;Scarlet Macaw;Alexandrine Parakeet;Monk Parakeet;Rose-ringed Parakeet;1;Animals
3406;A "Pizza Funghi" typically contains...?;Tomatoes, cheese, ham, pineapple;Tomatoes, cheese, salami, ham;Tomatoes, cheese, anchovies, olives;Tomatoes, cheese, mushrooms;4;Language
16348;Who does Michelle Pfeiffer play in the film "Wolf"?;Laura Randall;Charlotte Alden;Charlotte Randall;Laura Alden;4;Film
21546;What is the complete music title by Marianne Rosenberg: "Er Gehört Zu ..."?;Mir;Seiner Frau;Ihr;Dir;1;Schlager
15170;Which book did Gutenberg print between 1452 and 1456 with his newly developed printing method?;The Catechism;The "Divine Comedy" by Dante Alighieri;The Bible;The Gospel of Matthew;3;History
7095;By what name is the grunting ox better known?;Yak;Wisent;Buffalo;Bison;1;Animals
5435;In which hard rock band was David Lee Roth the first singer?;Deep Purple;Van Halen;Def Leppard;KISS;2;Rock
16707;Someone looking for something that has only advantages is said to wish for a...?;egg-laying woolly milk sow;egg-laying meat honey bee;milk-producing meat wool hen;nectar-gathering egg milk cow;1;Language
14291;Which Greek god is said to have planted the first vine?;Zeus;Amor;Dionysus;Eros;3;More Knowledge
15186;Which German state borders Luxembourg?;Rhineland-Palatinate;Baden-Württemberg;North Rhine-Westphalia;Hesse;1;Geography
13548;Which "outlaw" was, according to some sources, already a 21-time murderer at age 21?;Schinderhannes;Klaus Störtebecker;Michael Kohlhaas;Billy the Kid;4;History
9612;What is the main component of the Sun?;Hydrogen;Helium;Uranium;Neon;1;Astronomy
10370;What is NOT part of the SWIFT code?;Country code;Bank code;Industry identification;Branch identification;3;Economics
5061;In which low mountain range does the Schlitz river originate?;Taunus;Knüll;Rhön;Vogelsberg;4;Geography
12771;Which actress portrays Anna in "Rabbit Without Ears"?;Nora Tschirner;Brigitte Zeh;Barbara Rudnik;Alwara Höfels;1;Film
9764;What is the Tauber?;A low mountain range;A river;A shopping street in Saarbrücken;A landscape in Saxony-Anhalt;2;Geography
4095;In Germany, you are allowed to vote. What does that mean?;All residents in Germany must vote;Only married persons are allowed to vote;Only persons with permanent employment are allowed to vote;German citizens aged 18 and over are allowed to vote;4;Bavaria
12315;Which island is NOT part of the Balearic Islands?;Menorca;Formentera;Ibiza;Crete;4;Geography
10734;What are EHEC?;Escherichia (E) coli bacteria;Escherichia (E) carotin pathogens;Escherichia (E) crebs cells;Escherichia (E) cali germs;1;Medicine
8494;When did Beijing become the capital of the Ming Dynasty?;1271;1421;1567;1387;2;History
24827;What does a computer need a bus for?;Status bar;Programming;Decoding;Data transfer within a PC system;4;Digital
20294;What is the capital of Niger?;Harare;Dakar;Niamey;Belgrade;3;Geography
5086;In which town is the Heini Klopfer ski flying hill located?;Klingenthal;Oberwiesenthal;Oberstdorf;Garmisch-Partenkirchen;3;Winter Sports
22840;How many of 50 international matches played did Garrincha lose with the Brazilian national team?;four;one;three;two;2;Football
8289;When was the US parcel service UPS founded?;1917;1938;1889;1907;4;Economics
2255;German TV host Thomas Gottschalk's full name is...?;Thomas Dominik Gottschalk;Thomas Maria Gottschalk;Thomas Joachim Gottschalk;Thomas Johannes Gottschalk;4;TV
24818;What do you separate the chaff from?;corn;wheat;poppy;hay;2;Sayings
12686;What provocation did Lady Gaga commit at her concert in the US state of New Jersey?;Striptease on stage;Piles of trash on stage;Smoking on stage;Drinking on stage;3;Stars
7577;Who said: "Alle Tage sind gleich lang, jedoch verschieden breit"?;Hape Kerkeling;Otto;Udo Lindenberg;Jürgen von der Lippe;3;People
4532;In which year was the first HDTV demonstration at IFA?;1974;2001;1990;1985;4;Digital
5506;In which season did Alberto Tomba become the overall World Cup winner in alpine skiing?;1993/94;1994/95;1992/93;1995/96;2;Winter Sports
14436;Which composer invented his own variant of chess?;Paul Hindemith;Olivier Messiaen;Igor Stravinsky;Arnold Schoenberg;4;Classical
21386;How long do contraceptive patches last?;1 day;1 month;1 week;12 hours;3;Love & Sex
240;Spumante is a collective term for sparkling wines from...?;France;Portugal;Spain;Italy;4;Nutrition
3166;Dieter Bohlen thought candidate Ines Redjeb from DSDS season 2010 looks like ...?;Beyoncé;Kelly Rowland;Lady Gaga;Britney Spears;1;TV
19499;What is the main work of Judaism?;Talmud;Kabbalah;Mishnah;Torah;1;Religion & Myths
5062;In which low mountain range is the Buntsandstein ridge "Meulenwald" found?;Taunus;Odenwald;Spessart;Eifel;4;Geography
20775;What was the name of Cimino's Vietnam film with Robert de Niro and Meryl Streep?;Good Morning, Vietnam;The Deer Hunter;Apocalypse Now;Platoon;2;Entertainment
674;67 - 34 = ?;33;35;29;38;1;Mathematics
11266;What was Fridtjof Nansen NOT?;Nobel Peace Prize laureate;Botanist;Polar explorer;Politician;2;People
14958;Which dance star played a leading role in "Xanadu"?;Patrick Swayze;Gene Kelly;John Travolta;Fred Astaire;2;Film
5749;In which city was Christoph Waltz born?;Salzburg;Vienna;Berlin;Munich;2;Stars
23393;Where does the annual children's festival "Kinderzeche" take place?;Dortmund;Dinkelsbühl;Bochum;Herne;2;Society
2779;The Statue of Liberty was a gift from France to the USA. On what occasion was the giantess gifted?;End of World War I;In memory of the first settlers from France;300th anniversary of the discovery of America;100th anniversary of the Declaration of Independence;4;Travel
18458;Who was "Mister Pumpernickel"?;Wim Thoelke;Chris Howland;Ilja Richter;Hans Rosenthal;2;TV
23356;Where did the battle take place through which the Normans gained dominion in England?;Strasbourg;Middlesbrough;Hastings;Edinburgh;3;History
21750;What were the Calvinists called in France in the 16th century?;Huguenots;Waldensians;Albigensians;Cathars;1;Religion & Myths
13369;Which French king married Vienna-born Marie Antoinette, later Queen of France?;Louis XIV;Henry IV;Louis XVI;Charles IX;3;People
24586;Where is the comic character "Lurchi" known from?;Romika advertising figure;Advertising figure for Deichmann shoes;Sympathetic figure for the shoe brand Salamander;Elefanten shoe mascot;3;More General
19390;What are the throne succession wars in 15th century England called?;Knight Wars;King Wars;Emperor Wars;Wars of the Roses;4;History
23461;Where is the ethnic group of Wahhabis found?;Egypt;Azerbaijan;Iran;Afghanistan;1;Geography
23294;Where did a bank robbery in 1988 begin a two-day hostage drama that claimed two lives?;Essen;Gladbeck;Bochum;Düsseldorf;2;More General
21390;What are the first words of the Austrian national anthem?;Land der Arbeiter;Land der Sänger und der Tänzer;Land der Äcker und der Felder;Land der Berge, Land am Strome;4;More General
18245;Who played the female lead in Woody Allen's "Manhattan"?;Diane Keaton;Meryl Streep;Meg Ryan;Sandra Bullock;1;TV
16139;Which company was founded by master carpenter Ole Kirk Christiansen in 1932?;Husqvarna;Velux;Ikea;Lego;4;Society
17479;Who or what were the Bengler at the end of the 14th century?;A roaming group of robbers and murderers;A knightly alliance of Hessian and Westphalian nobility;Traveling craftsmen of various trades;A small Christian order;2;History
1250;On which Canary Island is the 1501-meter-high Pico Malpaso located?;La Gomera;Lanzarote;Fuerteventura;El Hierro;4;Geography
19965;What is the correct song title: Alles hat ein Ende nur...?;die Wurst hat zwei;ich find keins;das ist mir einerlei;du findest keins;1;More Music
20958;What was the chocolate bar "Twix" called in Germany before?;Raider;Rider;Reider;Flix;1;Economics
8912;What does overclocking mean in computer language?;Shutting down the PC processor;Overclocking the PC processor;Examining the PC processor;Replacing the PC processor;2;Digital
19422;What is "Romania" called in the national language?;Rumania;Romênia;România;Roumanie;3;Language
791;From which city is the Danube navigable?;Ulm;Ingolstadt;Regensburg;Passau;3;Geography
9074;What proverbially hinders your progress is called...?;A feather in one's cap;A flea in one's ear;A millstone around one's neck;A fly in the ointment;3;Sayings
2912;The sea strait "Palk Strait" is located between...?;Mozambique and Madagascar;Turkey and Greece;Spain and Morocco;India and Sri Lanka;4;Geography
24943;Which country does Bouvet Island belong to?;USA;Norway;Canada;Sweden;2;Geography
23310;Where does the Saar river originate?;Black Forest;Hunsrück;Vosges;Taunus;3;Geography
21078;What was a comedy duo from the GDR called?;Rolf Hoppe & Heinz Quermann;Lutz Stückrath & Herbert Köfer;Rolf Herricht & Hans-Joachim Preil;Alfred Müller & Heinz Schubert;3;TV
1545;Bad Hersfeld is located in the state of...?;Saarland;Thuringia;Lower Saxony;Hesse;4;Geography
344;11 x 22 = ?;231;222;242;262;3;Mathematics
10645;What did Confucius say? "Only the wisest and the stupidest...;cannot change";enjoy life";change the world";stay alive";1;Proverbs
7240;By which Federal President was Helmut Kohl sworn in when he became Chancellor for the first time?;Roman Herzog;Walter Scheel;Karl Carstens;Richard von Weizsäcker;3;Politics
17528;Who said "All knowledge arises from doubt and ends in faith"?;Annette von Droste-Hülshoff;Katharina von Bora;Marie von Ebner-Eschenbach;Hildegard of Bingen;3;People
4039;In which part of Alien did Winona Ryder play?;fourth;third;second;first;1;Entertainment
7319;From which club did footballer "Hulk" transfer to FC Porto in 2008?;Vissel Kobe;Tokyo Verdy;Sagan Tosu;Kawasaki Frontale;2;Football
24671;How did David defeat the giant Goliath?;with his bare hands;with a sword;with a slingshot;with poison;3;Religion & Myths
24202;Where was German politician Rita Süssmuth born?;Wuppertal;Hanover;Leverkusen;Heidelberg;1;People
13856;Which German rapper is a "Rebell ohne Grund"?;Casper;Prinz Pi;Cro;Vega;2;Black & Hip Hop
4666;In which year was the last Hohenstaufen, Conradin, executed?;1012;1268;1156;1304;2;History
6261;Which actor was supermodel Cindy Crawford married to from 1991 to 1995?;Richard Gere;Brad Pitt;Mel Gibson;Tom Cruise;1;More Lifestyle
8405;When was Ernest Hemingway born?;20081897;21071899;23051901;20081898;2;People
6371;With which single did Falco reach number 1 on the American Billboard charts in 1986?;Coming Home;Jeanny;Rock me Amadeus;The Sound of Music;3;Pop
14662;Which prince committed suicide at Mayerling?;Prince Karl Ludwig of Baden;Crown Prince Rudolf;Franz II;Crown Prince Eugene;2;History
23939;Where has footballer Ciprian Deac played since 2012?;Olympique Lyon;CFR Cluj;Rapid Vienna;ASC Rom;2;Football
4761;In which country (according to today's map) was Kofi Annan born?;Senegal;Ghana;South Africa;Cameroon;2;Politics
14152;Which film star had the first ballet flats designed by Salvatore Ferragamo in the 1950s?;Audrey Hepburn;Marlene Dietrich;Marilyn Monroe;Claudia Cardinale;1;Fashion
6112;Master Lampe is...?;the bear;the fox;the hare;the stork;3;Literature
7916;When did the first birth control pill come on the market in the USA?;August 18, 1960;May 1, 1959;August 15, 1961;April 1, 1960;1;Love & Sex